Article ID,Noun Phrase,Count
1,"service,quality",4
1,"resource,management,framework",1
1,"research,model",1
1,"organizational,core,values",3
1,"different,sources",1
1,"retail,stores",1
1,"charismatic,leadership",1
1,"business,level",1
1,"potential,influence",1
1,"two-time-point,panel,data",1
1,"indirect,effect",1
1,"—optimizes,employee,engagement",1
1,"practical,element",1
1,"example,improves,productivity",1
1,"turn,enhances,productivity",1
1,"conceptual,element",1
1,"financial,data",1
1,"organizational,value",1
1,"secret,shoppers",1
1,"unique,value-creation,driver",1
2,"hot,markets",1
2,"performance,trajectory",1
2,"longitudinal,analysis",1
2,"higher-status,actor",1
2,"lower-status,alters",1
2,"lower-status,actor",1
2,"venture,capital,firms",1
2,"market,heat",1
2,"higher-status,followers",1
2,"whereas,higher-status,firms",1
2,"status-asymmetric,relationships",1
2,"lower-status,firms",1
2,"venture,capital,syndication,patterns",1
2,"venture,’,s,performance,trajectory",1
2,"heighten,market,participants,’",1
2,furthermore,1
2,"status-asymmetric,ties",1
2,"lower-status,lead,investors",1
2,"external,context",1
2,"higher-status,alters",1
2,"powerful,antecedent",1
2,"downward-status,asymmetries",1
2,"upward-status,asymmetries",1
2,"good,ventures",1
3,"practice,prevalence",2
3,"“,strength",1
3,"social,influence,pathways",2
3,"“,weakness",1
3,"complex,way",1
3,"negative,effect",2
3,"theoretical,perspective",1
3,"positive,effect",1
3,"theoretical,framework",1
3,"view,prevalence",2
3,"third-party,evaluators",1
3,"numbers,”,effect",2
3,"past,adopters",1
3,"controversial,practice",1
3,"structural,equation",1
3,employing,1
3,"potential,adopters",1
3,rms,1
3,"private,firm",1
3,"practice,’,s,value",1
3,"“,shell,company,”,—we",1
3,"common,prediction",1
3,"future,research",1
3,specifically,1
3,"past,adopters,exerts",1
3,"future,adopters",1
3,"reverse,mergers",1
3,"practice,diffusion",2
4,wolfson,1
4,scrs,3
4,"cycliste,internationale",1
4,mathieu,1
4,"team,task-specific,experience",1
4,"’,s",1
4,"organizational,success",1
4,hcrs,3
4,hcrc,2
4,"situational,characteristics",2
4,hcr,4
4,"critical,boundary,condition",1
4,"high,levels",1
4,"capital,resources",1
4,teams,1
4,"competitive,advantage",1
4,implications,1
4,researchers,1
4,hc,3
4,tour,1
4,"human,capital",1
4,"members,’",1
4,"capital,resource,complementarity",1
4,furthermore,1
4,"organizational,leaders",1
4,"future,theory,building",1
5,"performance,consequences",1
5,"primary,data",1
5,"institutional,theory",2
5,"managerial,foresight",1
5,york,1
5,"political,uncertainty",1
5,"prominent,role",1
5,"performance,plays",1
5,"evidence,suggests",1
5,"37-year,period",1
5,"neo-institutional,theory,suggests",1
5,"subsequent,firm,performance",1
5,"central,role",1
5,"institutional,forces",1
5,"firm,performance",1
5,"current-year,performance",1
5,"key,antecedents",1
5,guided,1
5,"reflect,efficiency,considerations",1
5,"important,questions",1
5,"company,performance",2
5,"stock,exchange",1
6,"financial,restatements",1
6,"different,dimensions",2
6,"causes,interdimensional,incongruence",1
6,"positive,capability,signals",3
6,"negative,effects",1
6,"alliance,announcements",2
6,specifically,1
6,"negative,integrity,signal",1
6,"organizational,misconduct",2
6,"firm,size",1
6,"negative,integrity,signals",1
6,"positive,expectations",1
7,"voice,takes—that",1
7,"low,congruence",1
7,congruence,1
7,"supervisors,’,proactive,personality",1
7,"negative,trajectory",1
7,employees,2
7,"voice,growth",1
7,"positive,trajectory",1
7,"negative,trajectory—is",1
7,"proactive,personality",5
7,"test,theory",1
7,"initial,voice",1
7,"positive,voice,trajectory",1
7,"supervisor-employee,dyads",1
7,"early,stages",1
7,"subsequent,path",1
7,"positive,trend",1
7,dyadic,1
8,"competitive,dynamics",1
8,drawing,1
8,"high,level",1
8,"hostile,actions",1
8,"parent,firm",1
8,"corporate,investors,’,decisions",1
8,"parent,firms,’,technological,knowledge",1
8,"negative,effects",3
8,"medical,device,industry",1
8,"competitive,risks",1
8,"technological,overlap",2
8,"intellectual,property,rights",1
8,"parent,firms,influences",1
8,u.s.,1
8,"strong,litigiousness",1
8,"corporate,venture,capital,investments",1
8,"competitive,tension",1
8,"parent,firms",1
8,"indirect,access",1
8,"parent,firm,deters,potential",1
8,"corporate,investors",2
9,"supervisors,trust",1
9,"employee,’,s,desire",1
9,recent,1
9,drawing,1
9,"overall,fairness,perceptions",1
9,"low,levels",1
9,"job,performance",1
9,"three-wave,field,study",1
9,"employee,performance",1
9,"nascent,literature",1
10,"psychology,research",1
10,drawing,1
10,"wealth,types",1
10,"future,outcomes",1
10,"endowment,effect",1
10,"temporal,perceptions",1
10,"’,temporal,focus",1
10,"executives,endow",1
10,"’,s,endowment,effect",1
10,"prospective,wealth",4
10,"empirical,support",1
10,findings,1
10,"temporal,focus",1
10,ceos,3
10,ceo-year,1
10,"current,wealth",3
10,bam,4
10,"behavioral,agency,model",1
10,"executives,perceive",1
10,"main,relationships",1
11,"boardroom,dynamics",1
11,"board,meeting,participants",1
11,"directors,’,cognitive,conflict",1
11,"directors,’,independence,and/or,leadership",1
11,"identify,board,psychological,safety",1
11,"in-depth,interviews",1
11,"disagreement,episodes",1
11,australian,1
11,"chair,’,s,leadership",1
11,"key,mechanism",1
11,"important,reason",1
11,"important,element",1
11,ceo,3
11,"micro-level,approach",1
11,"video,observations",1
11,"chair,’,s,relationship",1
11,"board–ceo,cognitive,conflict",1
11,"psychological,safety",1
11,"board,meetings",1
11,"chair,’,s,role",1
11,"inductive,analyses",1
11,"participative,board,chairs",1
11,follow-up,1
11,"large-scale,survey,study",1
11,"independent,chair,improves",1
11,whereas,1
11,dutch,1
11,"chair,participative,leadership",1
12,scholars,1
12,"differentiate,voice",1
12,"employee,burnout",1
12,"psychological,safety—more",1
12,"psychological,safety",1
12,"behavioral,activation",1
12,mρ,1
12,"distinct,constructs",2
12,"conceptual,framework",1
12,"employees,’,voice",1
12,"interval-contingent,panel,study",1
12,"such,differences,matter",1
12,"meaningful,theoretical,advancements",1
12,"behavioral,inhibition,systems,perspective",1
12,"unique,effects",1
12,"article,shifts",1
12,taken,1
12,"=,-.15",1
13,"cognitive,pathway",1
13,"side-hustle,engagement",2
13,"attention,residue—persistent,cognitions",1
13,side-hustles,1
13,"side-hustle,complexity—the",1
13,"side-hustle,empowerment,enriches",1
13,"performance,enrichment",1
13,"assert,psychological,empowerment",1
13,"side-hustles,enriches",1
13,"gig,economy",1
13,"side-hustle,motives",1
13,"side-hustle,empowerment,distracts",1
13,"full-time,work,strengthens",1
13,"full-time,work,performance",5
13,"performance,conflict",1
13,combined,1
13,"full-time,jobs",1
13,"side-hustles,conflict",1
13,"method,study",1
13,"side-hustle,empowerment,influences,affective",1
13,"supplementary,work",1
13,"employees,supports",1
13,"employee-coworker,dyads",1
13,"cognitive,experiences",1
13,overall,1
13,"full-time,work",3
13,"side-hustle,empowerment",3
13,"affective,pathway",1
14,"historical,influence",1
14,"social,movement,organizations",1
14,smos,1
14,tmt,1
14,"senior,government,employees",1
14,"dependence,management",1
14,"’,s",1
14,"uncertainty,typology",1
14,"state,uncertainty",1
14,"environmental,factors,increase",1
14,"paper,contributes",1
14,smo,1
14,"likely,behavior",1
14,"factors,increase,response,uncertainty",1
14,"corporate,political,activity",1
14,"political,consultants",1
14,"corporate,political,activity,literature",1
14,"senior,executives",1
14,"intensive,industries",1
14,"different,types",1
14,milliken,1
14,"resource,dependence,theory,literature",1
14,"negative,national,media,tenor",1
14,"government,’,s",1
14,"political,contributions",3
14,"firms,’,efforts",1
14,"resources,increase,state,uncertainty",1
14,"firms,’,dependence",2
14,"politician,turnover,increase,response,uncertainty",1
14,"government,jurisdictions",1
15,"market,responds",1
15,ro,2
15,"broad,support",1
15,"dependence,relationship",2
15,"such,dependence,–",1
15,"firm,’,external,dependence,relationships",1
15,"external,entities",1
15,"dependence,scope",1
15,"resource,orchestration",1
15,"explanatory,mechanisms",1
15,"revenue,increases",1
15,"internal,firm,dynamics",1
15,collectively,1
15,"new,relationships",1
15,"firms,’,dependence",1
15,"such,dependencies",1
15,"dependence,stability",1
15,"dependence,supplementation",1
15,"longitudinal,sample",1
15,"resource,dependence,theory",1
15,"practical,implications",1
15,"core,tenet",1
15,rdt,4
15,"heterogeneous,nature",2
15,"firm,adjusts",1
15,"dependence,relationship,resides",1
15,specifically,1
15,"resource,dependence",1
15,"governmental,contracts",1
16,"commercial,hierarchy",1
16,"hierarchies,’,prestige,varies",1
16,"multiple,status,conferral,mechanisms",1
16,"status,inconsistency",2
16,"status,inconsistencies",1
16,"actors,’,responses",1
16,"pluralistic,value,systems",1
16,"artistic,status,hierarchy",1
16,"high,status",1
16,"multiple,status,hierarchies",1
16,"particular,professional,networks",1
16,hollywood,1
16,"pursue,opportunities",2
16,"status-inconsistent,performers",1
16,"status,hierarchies,’,unequal,prestige,influences",1
16,"primary,status,hierarchy",2
16,"commercial,status",2
17,"demotivate,employees,’,extra-role,behaviors",1
17,"undermines,employees,’,extra-role,behaviors",1
17,"literature,demonstrates",1
17,drawing,1
17,"conventional,wisdom",1
17,"incentive,effect",1
17,nonetheless,1
17,"heuristic,processing,literature",1
17,"empirical,results",1
17,"performance,subjectivity",2
17,"positive,effect",1
17,"“,pay,”,component",1
17,"motivates,employees,’,in-role,task,performance",1
17,"general,support",1
17,kahneman,1
17,pfp,8
17,"employee,performance",1
17,"high,performance,subjectivity",1
17,"extensive,body",1
17,"psychological,mechanism",1
17,"“,performance,”,component",1
17,"helping-performance,expectancy,accounts",1
17,"motivates,employee",1
17,taken,1
17,"expectancy,theory",1
17,"performance,appraisal,system",1
17,specifically,1
17,"distinctive,methodologies",1
17,"new,insight",1
17,vroom,1
18,"strategic,ambiguity",2
18,"advances,understanding",1
18,"clandestine,organizations",1
18,mafia,2
18,"public,scrutiny",2
18,"strategic,ambiguity,maintenance",1
18,"state,representatives",2
18,"enriches,understanding",1
18,"different,types",1
18,"main,contribution",1
18,"historical,study",1
18,"key,process,dynamics",1
18,"sicilian,mafia",1
18,"non-discursive,strategies",1
19,"“,optimal,distinctiveness,”,trade-off",2
19,"certain,audiences",1
19,analysis,1
19,"new,ventures,need",1
19,"organizational,legitimacy",1
19,"critical,resources",1
19,"study,contributes",1
19,"resource,acquisition",1
19,"market,categories",1
19,"theoretical,arguments",1
19,"cultural,entrepreneurship,research,highlights",1
19,"important,audiences",1
19,"distinctiveness,intensifies",1
19,"distinctiveness,counteracts",1
19,"new,ventures,gain,legitimacy",1
19,"alternative,sources",1
19,"new,ventures",1
19,"distinctiveness,lead",1
19,"new,mechanism",1
19,"proposition,matters",1
19,"new,ventures,’,resource,acquisition",1
20,"contingency,approach",1
20,"kin,ties",2
20,"kin,ties,–",1
20,kin,1
20,"employees,–",1
20,"different,structural,configurations",1
20,"negative,implications",1
20,"personal,conflict",1
20,"theory,deepens",1
20,"new,firms",6
20,stockholm,1
20,"possible,spillover",1
21,"’,s",2
21,"novel,empirical,evidence",1
21,"situational,factors",1
21,"internal,sense",1
21,"evidence,highlights",1
21,"work,context",1
21,"numerous,ways",1
21,"external,expression",1
21,"work,discourse",1
21,"positive,consequences",1
21,"identity,integration",1
21,"field,studies",1
21,"articles,focus",1
21,"document,intrapersonal",1
21,"novel,research,directions",1
21,"special,section",1
21,"real,self",1
22,"increases,anxiety",2
22,"benefits,people",1
22,"harms,performance",1
22,compared,1
22,studies,3
22,"hinders,performance",1
22,"person,’,s,preferences",1
22,"undesirable,feelings",1
22,"potential,investors",1
22,"positive,outcome",1
22,"target,’,s,interests",1
22,"field,study",1
22,"good,impression",1
22,"job,interviews",1
22,"people,experience",1
22,taken,1
22,"successful,outcomes",1
22,"pilot,study",1
22,"others,’,preferences",1
22,"control,condition",1
22,"investors,’,evaluations",1
22,"impression,management,research",1
23,"creative,process,engagement",3
23,"employee,mindfulness",1
23,"mindfulness,literature",1
23,"links,mindfulness",1
23,specifically,1
23,"humble,leaders",1
23,"present-moment,attention",1
23,"positive,association",1
23,"indirect,relationship",1
23,"conceptual,model",1
23,"employee,creativity",4
23,"leader,humility",2
23,"boundary,condition",1
23,"indirect,positive,association",1
23,"employees,perceive",1
23,"field,studies",1
24,"mental,fatigue",2
24,"situational,appraisals",1
24,"people,’,s,overall,capacity",1
24,"metacognitive,beliefs",3
24,"empirical,findings",1
24,"challenging,tasks",1
24,across,1
24,"motivational,forces",1
24,"negative,role",1
24,"draws,resources",1
24,"metacognitive,practice",1
24,"drive,resources",1
24,"organizational,hindrances",1
24,"article,clarifies",1
24,"theoretical,framework",2
24,integrating,1
25,"organization,–",1
25,"economic,growth",1
25,"identical,tasks",1
25,"facility-level,observables",1
25,"social,recognition",1
25,"behavioral,interventions",1
25,"external,validity",1
25,"intervention,–",1
25,"cross-state,differences",1
25,"crucial,determinant",1
25,bureaucratic,1
25,"health,facilities",1
25,"real-world,evidence,exists",1
25,nigerian,1
25,furthermore,1
25,"potential,benefits",1
25,"field,experiment",1
25,"social,recognition,intervention",1
26,preschool,1
26,"drive,absences",1
26,"bottom,quantiles",1
26,"chronic,absenteeism",1
26,"treatment,impact",1
26,"standard,deviations",1
26,"preschool,programs",1
26,"malleable,factors",1
26,"low-cost,light-touch,interventions",1
26,survey,1
26,"percentage,points",1
26,"grow,up",1
26,chicago,1
26,"18-week,period",1
26,"attendance,distribution",1
26,"administrative,records",1
26,"children,’,s,development",1
26,"text,messages",1
26,"attendance,requirements",1
26,"diminish,chronic,absences",1
26,up,1
26,"field,experiment",1
27,"physical,appearance",1
27,"research,highlights",1
27,"temporal,positions",1
27,specifically,1
27,"actor,’,s,need",1
27,"personal,attributes",1
27,"choice,architecture",1
27,"field,experiment",1
28,"affective,events",2
28,"psychological,detachment",2
28,"affective,states",1
28,"workday,respite,activities",3
28,"identify,mindfulness—the",1
28,"present,moment—as",1
28,"enjoyable,nature",1
28,"positive,affective,state",1
28,based,1
28,"work,tasks",1
28,"full-time,employees",1
28,"facilitates,psychological,detachment",1
28,workday,1
28,"work,stress",1
28,"respite,activities",2
28,"emotional,exhaustion",1
28,"non-judgmental,awareness",1
28,"turn,enhances,employee,outcomes",1
28,"intrinsic,motivation",1
28,"work,hours",1
28,"negative,affective,state",1
29,"external,validity",1
29,"control,eye-cues,poster",1
29,"laboratory,experiments",1
29,"experimental,eye-cues",1
29,"eyes,cues",1
29,"train,station",1
29,"internal,enforcement,techniques",1
29,"standard,inspection,operations",1
29,"two-week,period",1
29,"visibility,cues",1
29,"railway,stations",1
29,france,1
29,"social,norm",2
29,"artefactual,experiment",1
29,"fare,evasion",1
29,"social,norms",1
29,"natural,field,experiment",1
29,"eye,cues",2
29,"fare,evasion,rates",1
29,"potential,benefits",1
29,"experimental,train,station",1
29,"social,norm,messages",1
29,"small,scale",1
29,"moral,behavior",1
30,"organizational,scholars,cite,weak,relationships",1
30,"relationship,strength,exhibits",1
30,"experimental,audit,simulation",1
30,drawing,1
30,"relationship,strength,reduces",1
30,effective,1
30,"financial,restatements",1
30,"longitudinal,archival,data",1
30,certified,1
30,"environmental,externalities",1
30,u-shaped,1
30,"field,study",1
30,accountants,1
30,"strong,relationships,promotes",1
30,"certain,point",1
30,"information,asymmetry",1
30,"regulatory,agencies",1
30,"key,source",1
30,"economic,sustainability",1
30,whereas,1
30,"organizational,deviance,contends",1
31,"insurance,company",1
31,phishing,2
31,"validation,study",1
31,"computer,attack",1
31,"theoretical,perspectives",1
31,"social,distance",2
31,"organizational,data",1
31,"actual,social,distance",1
31,"exploitable,resource",1
31,"field,experiment",1
32,"field,study,tests",1
32,"meat,substitutes",4
32,"product,visibility",2
32,"choice,architecture",1
32,"pairwise,presentation,increase,sales",1
32,"pairwise,presentation",2
32,"chicken,sandwich",1
32,"large,retail,store,increases",1
32,"meat,substitutes,’,visibility",1
32,"experimental,store",1
32,"vegetarian,section",1
32,"backfire,effect",1
32,"enhances,sales",1
32,"nudge,consumers",1
32,"similar,meat,products",1
32,"study,places",1
32,"meat,product,sales",1
32,"follow-up,study,disentangles",1
32,"offering,meat,substitutes",1
32,"meat,substitute",1
32,"past,sales",1
32,"control,stores",1
32,doing,1
33,"identify,drivers",1
33,york,1
33,"taxi,court",3
33,"subsequent,fraud",1
33,"actual,enforcement",1
33,"city,taxicab,drivers",1
33,"similar,drivers",1
33,"impact,bias",1
33,interestingly,1
33,"regulatory,enforcement",3
33,"recent,taxi,court,experience",1
33,"future,fraud",2
33,"drivers,’,experience",2
33,"unique,natural,setting",1
33,"deterrence,effect",1
33,"drivers,’,affective",1
33,"overcharge,customers",1
33,consistent,1
33,"ride-level,data",1
34,"daily,mindfulness,training",1
34,india,1
34,compared,1
34,"longitudinal,field,experiment",1
34,"kindness,meditation",1
34,"state,mindfulness",1
34,"day,period",1
34,"prosocial,behavior",2
34,"us,insurance,company",1
34,"round,robin,design",1
34,"nonjudgmental,awareness",1
34,"waitlist,control",1
34,"moderate,support",1
34,"present,moment",1
34,"quantitative,surveys",1
34,studies,1
34,"different,mindfulness,inductions",1
34,"mindfulness,’",1
34,"increases,prosocial,behavior",1
34,"secular,state,mindfulness",1
34,"present,research",1
34,"great,importance",1
34,"field,experiment",1
35,"low-income,workers",1
35,"urgent,action",1
35,"mission,statements,motivate,employees",1
35,drawing,1
35,"past,decade,reveals",1
35,"franchise,mission,statements",1
35,discriminatory,1
35,"regulatory,mode,theory",1
35,"thoughtful,consideration",1
35,"regulatory,mode,predicts,franchise,involvement",1
35,"ethical,violations",1
35,"archival,data",1
35,"high,locomotion,mission,statements",1
35,"plague,us,corporations",1
35,"assessment,mode",1
35,"considerable,amount",1
35,"ethical,standards",2
35,"paper,investigates",1
35,"locomotion,mode",1
35,eeoc,1
35,"high,assessment,mission,statements",1
35,"linguistic,analysis",1
35,"discriminatory,managerial,decisions",1
35,"organization,pursues",1
36,"insurance,companies",1
36,"deter,auto,insurance,fraud",1
36,"state,law,enforcement,data",1
36,"deter,consumers",1
36,"consumers,over-estimate",1
36,"identify,psychological,factors",1
36,messick,1
36,ca,1
36,"psychological,factors",2
36,"deter,fraud",1
36,"identify,organizational,constraints",1
36,tenbrunsel,1
36,"insurance,fraud,investigators",1
36,ny,1
36,"public,relations",1
36,"organizational,constraints",1
36,"negative,publicity",1
36,"social,sanctions",1
36,"economic,sanctions",1
36,"insurance,company,records",1
36,"anticipate,high,emotional,costs",1
36,"suspicious,claims",1
36,"unique,datasets",1
36,"law,enforcement,agencies",1
36,"automotive,insurance,customers",1
37,"perfect,attendance",1
37,"social,norm",1
37,"retrospective,award,suggests",1
37,"prospective,awards",1
37,"crowding-out,effect",1
37,contrary,1
37,survey,1
37,"target,behavior",1
37,"organizational,leaders,’,expectations",1
37,"common,types",1
37,"subsequent,attendance",1
37,"empirical,studies",1
37,u.s.,1
37,"surprise,awards",1
37,"significant,negative,effect",1
37,"awards,motivate,student,attendance",1
37,"retrospective,awards",1
37,"symbolic,awards",1
37,"individual,behavior",1
37,"prospective,incentives",1
37,"field,experiment",1
38,"authenticity,mediate",1
38,"moral,actors",1
38,"subsequent,status,conferral",1
38,"moral,identity",1
38,"status,conferral",2
38,"moral,behaviors",3
38,"observers,’",1
38,across,1
38,"experimental,findings",1
38,perceptions,1
38,"diverse,samples",1
38,"status,incentives",4
38,"two-wave,online,survey,replicates",1
39,"experimental,designs",1
39,"results,contribute",1
39,"leaders,express,humility",1
39,"interactive,effect",1
39,"interpersonal,lens",1
39,"important,employee,outcomes",1
39,"circumstances,leader,humility,relates",1
39,"interpersonal,antecedents",1
39,"follower,vulnerability",1
39,"leader,humility",3
39,"theoretical,model",1
39,integrating,1
39,"mediation,model",1
39,"leader,humility,decreases",1
40,"standard,opt-in,processes",2
40,"low,parent,take-up",1
40,"actual,take-up,rates",1
40,"automatic,enrollment",3
40,"such,low,take-up",1
40,gpa,2
40,"students,’",1
40,"percentage,points",2
40,"improves,student,achievement",1
40,"enrollment,defaults",1
40,"opt-in,process,induces",1
40,"average,student,achievement",1
40,"district,leaders",1
40,"district,leaders,take-up",1
40,"academic,progress",1
40,"education,technology",1
40,"process,yields",1
40,"parents,increases,take-up",1
40,"field,experiment",1
